repo,commit,high_conf,med_conf,low_conf,high_sev,med_sev,low_sev,unique_cwes,total_no_unique_cwes
letta,ee61a74e5b989be7f17a97a36845e1de1fc7756b,3682,35,113,25,158,3647,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,ef25a6e7288a5de62b37412cd4a5c3c2e2addf63,3596,35,113,25,158,3561,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,f0112f2fb827938c4453341eb84c700287fab627,3626,35,114,25,159,3591,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,f46b75f98bf6848450baa36eb451187ee3e0649e,3681,35,113,25,158,3646,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,f72d3d0e440164a7da4dafce47d8b752d7490fd7,3599,35,113,25,158,3564,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,f97bb00b46007d5b81c38c16b8bb4cfe0c65c8cc,3681,35,113,25,158,3646,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,fa8e25dc5a2ba8e06791e8de0685e071553b33cc,3599,35,113,25,158,3564,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,fcfeae12fc36eccc12a934127706413cb68d25ef,3618,35,113,25,158,3583,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,fd0f25d3e7f3c57698c359170f89d2cbbc7625b9,3598,35,113,25,158,3563,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,fd7e8f1da70bdead3508e703742e76741f23abc8,3706,35,113,25,158,3671,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,fdd360d84274416cb51d0aba1063cb477cf51477,3598,35,112,25,157,3563,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,ffb4fd101ac73da3dae7af7078bd603f6f03d9ff,3622,35,113,25,158,3587,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
