repo,commit,high_conf,med_conf,low_conf,high_sev,med_sev,low_sev,unique_cwes,total_no_unique_cwes
autogen,ed08676bd7565bc460c51640c0ab7c27ac8c46b5,3987,14,3,22,36,3946,"[259, 327, 377, 330, 78, 400, 20, 22, 502, 89, 732, 605, 703]",13
autogen,f1e615321e692a2cced5e529abaee2fa6473152b,4096,14,3,22,40,4051,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 703]",13
autogen,fbe94dd7ed4bdcb0b81828bce4b728f2be8e0d96,3869,14,3,22,36,3828,"[259, 327, 377, 330, 78, 400, 20, 22, 502, 89, 732, 605, 703]",13
autogen,fc6fb4ea15afa7e9c8e619ed5c5b611be019f7be,4096,14,3,22,40,4051,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 703]",13
autogen,fe1feb3906febb5c6004558c69216e6121167f9a,4108,15,3,22,40,4064,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 703]",13
gpt-pilot,05a2db9f03746559b25e14ae77f3a2ade188d7da,4627,55,30,37,133,4542,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,08e7f5af5a05e7ae01529ca2d79fae45414292f0,4627,55,30,37,133,4542,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,093f6335d970cf99bea9c4b5e4dadb3be68b7b8a,4627,55,30,37,133,4542,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,0bf2992b3c9d1ac687d9dd002621039d0a8e3501,4627,55,30,37,133,4542,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,12682691cd6d076edcf25201c3f2c0d4cf69c695,4627,55,30,37,133,4542,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,1404a55522f41adb698b011621369d2d5c28cd24,4627,55,30,37,133,4542,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,15c72dd500c6052309f65c33cd5001da5d4efedb,4629,55,30,37,133,4544,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,15ffd30f01a9da7d6d5f014574e944987ebc40c6,4627,55,30,37,133,4542,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,160b96775e547893e788b01ed5e2503dacdf167f,4629,55,30,37,133,4544,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,178ec3290cd39380a2365a7f5a05be53807691a7,4627,55,30,37,133,4542,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,1967c19e6a228de3a120113fa81bb763a89a4f25,4627,55,30,37,133,4542,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,1a1c2a16a5594f832923ef344ae865b9354a6b7d,4627,55,30,37,133,4542,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,1cc380b2e3e6f6621c51db559ac2768d72490726,4627,55,30,37,133,4542,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,1e3859c2a66fed27703c056173d601cd7142ce95,4627,55,30,37,133,4542,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,2734e36d0d140b0173fe7943375b424a0618a8e1,4627,55,30,37,133,4542,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,29630d395326322ed6f833121d1edeb1ae85a80f,4629,55,30,37,133,4544,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,2cc2ce7adb8dd12985fd9e58586bd1c9097d8f77,4629,55,30,37,133,4544,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,2d1608e505a55a57b80b4828dd8948a6af95511f,4627,55,30,37,133,4542,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,2dec1a2cf404c69f4c82604dcf6d6eea5d215d65,4627,55,30,37,133,4542,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,302c9f245491a7113cef922f535fba4695fb7d3f,4629,55,30,37,133,4544,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,3393a683fde80a56e5aab2b4b93416998b239581,4629,55,30,37,133,4544,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,343c73715d47256232f5840830011f8ed60d4d98,4627,55,30,37,133,4542,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,354723a95e1ecc2007b4ecd5766ac9c0bd6f7b2e,4627,55,30,37,133,4542,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,3c2cfe257281f0e9bbde33631ad88935b51e79c8,4627,55,30,37,133,4542,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,3c9d026c83e10d67dda687288f4f1666c7716823,4627,55,30,37,133,4542,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,3d3756c5a9df2610e026168ab5213b34f3fc5165,4627,55,30,37,133,4542,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
gpt-pilot,42a88f018e0d3ed5991864235ba4c0ba6fa79e80,4627,55,30,37,133,4542,"[89, 259, 327, 330, 78, 80, 400, 20, 502, 22, 377, 732, 605, 94, 703]",15
